Title,Artist,Album,URL,Card#,Year,Youtube-Title,Hashed Info
Here I Go Again,Whitesnake,Whitesnake's Greatest Hits,https://www.youtube.com/watch?v=i3MXiTeH_Pg,173,1982,Whitesnake - Here I Go Again,488b16b49f43633c948b2235f6280a5b5aa6442caa2754c4e1105aa254080948
Missing You,John Waite,No Brakes,https://www.youtube.com/watch?v=Tg7vvmlrRzc,184,1984,Missing You,a6b929276e1d3c5e24c79f3a091de825c88e7684976fe863b5d226f801a8501d
Everybody Wants To Rule The World,Tears For Fears,Songs From The Big Chair (Super Deluxe Edition),https://www.youtube.com/watch?v=U4zA0xnBEJU,194,1985,Everybody Wants To Rule The World,c44258388b6db5294c909643de58bce3c225eb9d4a85f101f2efba08f4b92dad
Invisible Touch,Genesis,Turn It On Again - The Hits,https://www.youtube.com/watch?v=jpmiZ7zsHXY,200,1986,Genesis - Invisible Touch (Official Music Video),3087a130abb4bcd46b51c3f14ef58b5808103919c5fb5c38592a79ac48e022cd
Gonna Make You Sweat (Everybody Dance Now) (feat. Freedom Williams),C & C Music Factory,Super Hits,https://www.youtube.com/watch?v=4R6t7YWmM5E,231,1990,C & C Music Factory feat. Freedom Williams - Gonna Make You Sweat (Everybody Dance Now) (1990),44f9751a2d683b2ce98210064f6a3266898d77d6a6bae35b79020a4fd439e6df
Pop-Musiikkia,Nelja Baritonia,Poko 30v.,https://www.youtube.com/watch?v=_bBHgR2JngY,1118,1997,Pop-musiikkia,e55f24d60bc8d8879ff23598bfca7e21b33a4484ee4bab84fe402f71da9bf37c
Insane in the Brain,Cypress Hill,Black Sunday,https://www.youtube.com/watch?v=RijB8wnJCN0,250,1993,Cypress Hill - Insane In The Brain (Official HD Video),5b32284e8181a292b0e15d92a39ac213c631563d87e67b520e7458ebdae64e69
Laid,James,Laid,https://www.youtube.com/watch?v=g_qZ5B-yioU,258,1993,James - Laid (Version 2),d403288f0d5bfe11d01b136f72ad9116aea336df909fef612b0872d0703b117f
Common People - Full Length Version,Pulp,Different Class,https://www.youtube.com/watch?v=t7HNUVCv_X0,274,1995,Common People (Full Length Version),a376bff5fd58a42966d691211aa3f840129b1dd3c0afa5306f6035a432067aad
What Can I Do,The Corrs,Talk on Corners,https://www.youtube.com/watch?v=RibtqL3Y0Cg,308,1997,What Can I Do,d620682eece907f329432d46713c78b5fd34fb4e1b4684f423deeea86572d1d6
Porcelain,Moby,Play,https://www.youtube.com/watch?v=IJWlBfo5Oj0,324,1999,Moby - 'Porcelain' (Official Video),61d5a738e91dc40c0749af5058ec005dc3167b17c2d6c1326c352ab887075c55
Suklaasydän - Mama's Pearls,Brita Koivunen,Brita Koivunen ja Olli Hämeen kvintetti,https://www.youtube.com/watch?v=dKuMVJkyVZc,1070,1956,Suklaasydän - Mama's Pearls,8661a654455a1d2f8c7738273ddd79608512baf4b92103367cdf2bd022fc4abc
Pahempi toistaan,Apulanta,Kiila,https://www.youtube.com/watch?v=YU08gHNq_Pg,1132,2005,Apulanta - Pahempi toistaan (Official),89d1c6d0d2d9fcd7342a16fc71d4f3c7ca5a84e4a1c3f544ac3fc73f45207ace
Somebody Like You,Keith Urban,Golden Road,https://www.youtube.com/watch?v=eiBinM-f-Pk,346,2002,Keith Urban - Somebody Like You (Official Music Video),7d36690d2758d8447850747e8caf800e0315f75401396a4af46f681ba23c1aa6
Kellä kulta sillä onni - Everybody Loves A Lover,Laila Kinnunen,Iskelmiä vuosien varrelta,https://www.youtube.com/watch?v=5WuMnLp_izY,1071,1958,Kellä kulta sillä onni - Everybody Loves A Lover,0ab273b41833f229b382237ddc6cfce1269e35edc91d5e02c582e5dacac21f24
I Believe in a Thing Called Love,The Darkness,Permission to Land,https://www.youtube.com/watch?v=tKjZuykKY1I,354,2003,The Darkness - I Believe In A Thing Called Love (Official Music Video) [HD],ad83ef048c925770eb667d0bb702a22c1e8f4d52b8114b5b8c379ac84eee4dd3
This Is The Life,Amy Macdonald,This Is The Life (eDeluxe),https://www.youtube.com/watch?v=iRYvuS9OxdA,384,2007,Amy Macdonald - This Is The Life,350215cb2b788acbca12c9dfef933e2f5ff7f553215abb0d112a448c27c4ab78
Take Me To Church,Hozier,Hozier (Special Edition),https://www.youtube.com/watch?v=PVjiKRfKpPI,425,2013,Hozier - Take Me To Church,2e0ecf976d0ed198afc0b559afe974c06e9227ca4d7b6a4d3a0a2f02829fe9b0
Worth It (feat. Kid Ink),Fifth Harmony,Reflection (Deluxe),https://www.youtube.com/watch?v=YBHQbu5rbdQ,447,2015,Fifth Harmony - Worth It (Official Video) ft. Kid Ink,2de9639def189f4b2ed7cd20f4d29b199e1ae00623b2be6e5caa613ce1ef6904
Sokka irti,Cheek,Sokka irti,https://www.youtube.com/watch?v=tG8XpMDbHGM,1149,2012,Cheek - Sokka Irti (Official Music Video),e73254577fa40b1d6e58a7c9c91970d5f3a56ae5898bbf7ccceaf4eebcade70e
The Middle,Zedd,The Middle,https://www.youtube.com/watch?v=M3mJkSqZbX4,461,2018,"Zedd, Maren Morris, Grey - The Middle (Official Music Video)",0c079d998901fa15e3d540610393db07d626da9b3601f44fa9cc4282bf5f9a0b
no tears left to cry,Ariana Grande,Sweetener,https://www.youtube.com/watch?v=ffxKSjUwKdU,463,2018,Ariana Grande - no tears left to cry (Official Video),3d3f263174ddff5647afca3fecf50b8221cf299f98eb2f790e07a067b895b9e8
You're the Voice,John Farnham,Whispering Jack,https://www.youtube.com/watch?v=tbkOZTSvrHs,495,1986,John Farnham - You're the Voice,28c5de9766c33572f301926e13562d442f305f46443e5f660d6afc41f992e93b
Heilutaan,Tiktak,Ympyrää,https://www.youtube.com/watch?v=IqzMLhV52JI,1130,2003,Tiktak - Heilutaan (lyrics),4523ed13d46c65337bc23deccc76b6d0c71d215109aaaabc35fe150f9f70aed9
Don't You (Forget About Me),Simple Minds,Once Upon A Time (Super Deluxe),https://www.youtube.com/watch?v=CdqoNKCCt7A,502,1985,Simple Minds - Don't You (Forget About Me),7cc5414832dcc95657fae9eb61041cfd56d1053fa4324f88ab2e8fd15026ada7
Don't Cha,The Pussycat Dolls,PCD,https://www.youtube.com/watch?v=YNSxNsr4wmA,521,2005,The Pussycat Dolls - Don't Cha (Official Music Video) ft. Busta Rhymes,0855bae665e12e4d3f0a36734f207c05b0bde284eec1fee4ac03ff35cf9a33fc
Hollaback Girl,Gwen Stefani,Love Angel Music Baby,https://www.youtube.com/watch?v=Kgjkth6BRRY,523,2004,Gwen Stefani - Hollaback Girl (Official Music Video),67edea41a3042a5f349a85e91b9fdddd797b744e44b0bfa7ad593adfe66af7d3
Survivor,Destiny's Child,Survivor,https://www.youtube.com/watch?v=Wmc8bQoL-J0,524,2001,Destiny's Child - Survivor (Official Video),00e7f717eaf3983c6b70883447bc04a40a157cc8efb5ece996c2d41b0efc2dca
Push The Button,Sugababes,Taller In More Ways,https://www.youtube.com/watch?v=oJDGcxAf9D8,526,2005,Sugababes - Push The Button (Official Music Video),74031a5baa1527ecb14ede0517efc0a37f26030bc180addee89a4a8807b408ed
Tinakenkätyttö,Kaija Koo,Tinakenkätyttö,https://www.youtube.com/watch?v=6KM918xY95k,1124,1999,Tinakenkätyttö,0c4139f10ddff20e8f02ad06273578e2e2aeaa38fa58e89955f3916b90d55ac3
At Last,Etta James,At Last!,https://www.youtube.com/watch?v=1qJU8G7gR_g,532,1960,At Last,e8578907357057e372acfbb7a5fcc1a089f0d75beae9312c467748ce57b41b3f
Knockin' On Heaven's Door,Bob Dylan,Pat Garrett & Billy The Kid (Soundtrack From The Motion Picture),https://www.youtube.com/watch?v=rm9coqlk8fY,539,1973,Bob Dylan - Knockin' On Heaven's Door (Official Audio),08636ff7c362edaa0826cb715b6e3594a02c5275c3bdd7c0254709e2f6299bf3
"Take Me Home, Country Roads - Original Version",John Denver,"Poems, Prayers and Promises",https://www.youtube.com/watch?v=Wh2kwpnQu6c,545,1971,"Take Me Home, Country Roads (Original Version)",f0214d7a1e22ad2cf9478b85983163a6585b24eaf0f4556d93fe1fed61bbd3c6
Tipi-tii,Marion Rung,Marion Rung,https://www.youtube.com/watch?v=DP5qIuHdESo,1072,1962,Tipi-tii,e5293ebbbac369ae48824efd04c2d304c19a9c54ae4b992e3ff13813df343243
La Camisa Negra,Juanes,Mi Sangre,https://www.youtube.com/watch?v=kRt2sRyup6A,564,2004,Juanes - La Camisa Negra,a8e388223cde80664cde33d948a074303fae9ec5a786f82bdd583da788c0d2b3
Rhythm Is A Dancer,SNAP!,The Madman's Return,https://www.youtube.com/watch?v=JYIaWeVL1JM,567,1992,SNAP! - Rhythm Is A Dancer (Official Music Video),9225b6e7c085da9a589230379997c20e8f7790bef33abbe53aadca93e3844f05
Out of Touch,Daryl Hall & John Oates,The Very Best of Daryl Hall / John Oates,https://www.youtube.com/watch?v=DCkJ5lGPqFs,585,1984,Out of Touch,c12afa5efd3b84dd3b6bbae9a6ca6f6653c75edc1fb51b573c1bdfc3829dd7c1
Shackles (Praise You),Mary Mary,Go Get It,https://www.youtube.com/watch?v=V7eZD3TKn_M,602,2000,Mary Mary - Shackles (Praise You) (Video),8f67aa247da04b17a8c3418533985874ef660ba95f9320141301a8586f7f6454
This Love,Maroon 5,Songs About Jane: 10th Anniversary Edition,https://www.youtube.com/watch?v=XPpTgCho5ZA,608,2002,Maroon 5 - This Love (Official Music Video),1e25e0be35ac2fc3101e4f2769c5586548551d5287e96096a527697d743d0f6c
Always On Time,Ja Rule,Pain Is Love,https://www.youtube.com/watch?v=0tcDXJfAFVw,615,2001,Ja Rule - Always On Time (Official Music Video) ft. Ashanti,aad5a78430dd32ae3a04b95d89671bf37d350044804fb4ab1f839fd8bab411e8
Jos sulla on toinen,Taikapeili,Suuri salaisuus,https://www.youtube.com/watch?v=rWolctNslKg,1109,1994,Jos sulla on toinen,88bf898e679574cd8fcdf05fd2be462a849a82f58d04c66835cb8c189d182097
"I'll Be Missing You (feat. Faith Evans, 112)",Diddy,Bad Boy's 10th Anniversary- The Hits,https://www.youtube.com/watch?v=pNPf-aP-bsA,618,1997,"I'll Be Missing You (feat. Faith Evans, 112)",8d78fa9c92760616df87ea8d48a5080e35c0e9a949432abc5be2fdd90a962395
Suga Suga,Baby Bash,Tha Smokin' Nephew,https://www.youtube.com/watch?v=6rgStv12dwA,619,2003,Baby Bash - Suga Suga (Official Music Video) ft. Frankie J,005e017ed2681acc8b560135ead0c5b5903d937ce58600ed2d93c72702246e94
To the Moon & Back,Savage Garden,Savage Garden,https://www.youtube.com/watch?v=HCm6gRHINqA,621,1996,Savage Garden - To The Moon & Back (Extended Version),9db83d44d77de285f22ba8a0315b56e508de85ab2a3b36705b8083144dffd4d1
Glory of Love,Peter Cetera,Solitude / Solitaire,https://www.youtube.com/watch?v=1eQWdpWjXlk,627,1968,Glory of Love,ae01e486e554142501fdd607035eac35ec3c3553e5a7c9a1a243cf95c583ce4e
See You Again (feat. Charlie Puth),Wiz Khalifa,See You Again (feat. Charlie Puth),https://www.youtube.com/watch?v=xl8thVrlvjI,635,2015,See You Again (feat. Charlie Puth),a4dfd3f19a7db8f7d4021d2668db0f834b4e35383a4701c66855abaacc5a254d
It Wasn't Me,Shaggy,Hot Shot,https://www.youtube.com/watch?v=_PdVMd4qj2s,641,2000,It Wasn't Me,3866cd3d6daa3ba86a05c734ddf88cba91c3501cd9e45b9fcbea112a1f95d181
O Sole Mio,Enrico Caruso,"The Gramophone Classics, Vol. 1",https://www.youtube.com/watch?v=4zrnLvpT5lg,645,1916,O sole mio,bd7111419fc4315cc0c11277803f7ad906153f0b98773feead98c276716adfb8
Ain't No Mountain High Enough,Marvin Gaye,20th Century Masters: The Millennium Collection: The Best Of Marvin Gaye & Tammi Terrell,https://www.youtube.com/watch?v=ABfQuZqq8wg,653,1967,Ain't No Mountain High Enough,c47df4e35990d8ed33d1d96e178d3d0d4aeb0ae706677b75abea79165ed0ce1c
In the Midnight Hour,Wilson Pickett,In the Midnight Hour,https://www.youtube.com/watch?v=Il-usrZxGns,654,1965,In the Midnight Hour (45 Version),032457e5a491ac790bb6f27eba8a7a314311cb09a1108969b0d2774c31f2f69f
Let's Stay Together,Al Green,Let's Stay Together,https://www.youtube.com/watch?v=XXx6RDzR6eM,655,1971,Al Green - Let's Stay Together (Official Audio),2abd5761e76f8c7e0f07f4103b0ad8f4b12d4deb1ae00676c5f4f5d76f1a459c
I'll Take You There,The Staple Singers,The Very Best Of The Staple Singers,https://www.youtube.com/watch?v=IhHBr7nMMio,658,1972,The Staple Singers - I'll Take You There (Official Lyric Video),cd3fd045ce6235bf2c2506ddb47c7be2f7e4f32ec1d20ce810e7ebdb643364be
Cicciolina,Erika Vikman,Cicciolina,https://www.youtube.com/watch?v=7qgw9wq4aQs,1163,2020,Cicciolina,d666cb0f7239c15a58684642a3654cec1cd200e3d0fced18690f06260484116e
(Sittin' On) the Dock of the Bay,Otis Redding,The Dock of the Bay (Mono),https://www.youtube.com/watch?v=rTVjnBo96Ug,659,1968,Otis Redding - (Sittin' On) The Dock Of The Bay (Official Music Video),af68ffcc1e1615ea3adf845cea25967ce7104229f98b9b1aece31cb58dae42aa
Sherry,Frankie Valli & The Four Seasons,The Very Best of Frankie Valli & The 4 Seasons,https://www.youtube.com/watch?v=LVAsnD969qs,660,1962,Sherry,ad7fb9da5b1bf0d429262304700ad7d0a85ecc4669d850d1d22ba9bf9e3ed765
The Lion Sleeps Tonight,The Tokens,Both Sides Now,https://www.youtube.com/watch?v=OQlByoPdG6c,661,1961,The Tokens - The Lion Sleeps Tonight (Wimoweh) (Audio),28052146e5c40914f732b11128a1937c351b84076084e89b21c5ee09cf899932
Baby Love,The Supremes,Where Did Our Love Go,https://www.youtube.com/watch?v=D6QF4sB40gU,663,1964,The Supremes - Baby Love (Lyric Video),27f65cf8e5b2758279041bd6de4c40ef4af91c8dbf873a2886fbe2580fba817e
(Love Is Like A) Heat Wave,Martha Reeves & The Vandellas,Heat Wave,https://www.youtube.com/watch?v=5k0GDQrK2jo,664,1963,Martha Reeves & The Vandellas ~ Heat Wave  (1963),7b052e92a8692e75dc409c215d3560fa357b8281ba6c90141f6d754b1c516c5f
When All The Saints Come Marching In (Take 2),Paramount Jubilee Singers,Paramount Jubilee Singers & Taskiana Four (1923-1928),https://www.youtube.com/watch?v=2Dk3pBsG_4A,672,1923,When All The Saints Come Marching In (Take 2),07c539e8388181c67baa2912bf0679e2efd6a2a10f3d4f13db7513ec6f12f51b
Stayin Alive,Bee Gees,How Can You Mend A Broken Heart,https://www.youtube.com/watch?v=z2qoihbzc3E,675,1977,Stayin Alive,bf078afffc0fd6e23e9307196fb214e6438df09230b31a6b30f71ad11a98e635
The Gambler,Kenny Rogers,The Gambler,https://www.youtube.com/watch?v=w4RvskuFnPY,679,1978,The Gambler,ca7ca8f62b08ae2c6dbea6d0cf348de197fb20064c87fd2bb61d61d3a725daa3
What A Wonderful World,Louis Armstrong,What A Wonderful World,https://www.youtube.com/watch?v=rBrd_3VMC3c,681,1967,Louis Armstrong - What A Wonderful World (Official Video),1de9adb6fc4edcba20ab01c0a713f5ea84a6b85093023bfe81b40e949940b086
Odota,Aikakone,Tähtikaaren taa,https://www.youtube.com/watch?v=H6amnBdpBUo,1112,1995,Odota,7f49d2c8c159985f9f54266b0959551bd5d18e9cd94cc97beaaf36633e8cc7ab
To Be With You - 2021 Remastered,Mr. Big,Lean Into It (30th Anniversary Edition),https://www.youtube.com/watch?v=EMDAEZ4CHvk,699,1991,Mr. Big ● To Be With You (30th Anniversary Edition Remastered) [HQ],49f62e4c1a4836f15cffc3ba60ac218298752b9fe59a077f41b1c3d8ff1fad14
Video Killed The Radio Star - Single Version,The Buggles,Video Killed The Radio Star / Kid Dynamo,https://www.youtube.com/watch?v=W8r-tXRLazs,704,1979,The Buggles - Video Killed The Radio Star (Official Music Video),ce86997ac89257712257c1bfab98df363400c75b07d1fa3bad6c13e3281e6646
Fly Me To The Moon - 2008 Remastered,Frank Sinatra,Nothing But The Best (2008 Remastered),https://www.youtube.com/watch?v=7_udMxj54yc,707,1964,Fly Me To The Moon | Frank sinatra (2008 Remastered),b498481ee13d04354bb136ab1a89f634bdd2d2fc2abb5727efc5f3df3ff133ef
I Shot The Sheriff,Eric Clapton,461 Ocean Blvd. (Deluxe Edition),https://www.youtube.com/watch?v=L0xLLPJ0bOw,710,1974,I Shot The Sheriff,b774ad524c2d0e2f3c8c6a00607694796c98419be52a1a6a2d5f1dea47e78162
Heart Of Gold,Neil Young,"Eat, Pray, Love",https://www.youtube.com/watch?v=c7eB7Wns1-M,726,1972,Neil Young - Heart of Gold (Official Audio),c61e600df767e254f0d9879b36e4b40fe6576c60835bae964b19ab63eab62545
Rude,MAGIC!,Don't Kill the Magic,https://www.youtube.com/watch?v=PIh2xe4jnpk,728,2013,MAGIC! - Rude (Official Video),a7d17c976d969d504062f0b8225cccb6a031d562fffe39df7c6f68aecc987643
3:00:00 AM,Matchbox Twenty,Yourself or Someone Like You,https://www.youtube.com/watch?v=C-Naa1HXeDQ,731,1996,Matchbox Twenty - 3AM (Official Video) [HD Remaster],79cac88eff1b9ab1d37c36cf49d20dc963b4fd44a5c36d766da8e25cd37a5ef4
Drops of Jupiter (Tell Me),Train,Drops Of Jupiter,https://www.youtube.com/watch?v=7Xf-Lesrkuc,733,2001,Train - Drops of Jupiter (Official Video),da791be83ffefca954f9826ea3f18814aa18313bfa4bb3185994524beb5a4e89
All The Small Things,blink-182,Enema Of The State,https://www.youtube.com/watch?v=9Ht5RZpzPqw,738,1999,blink-182 - All The Small Things (Official Music Video),83013c151b56362d5513c3dc7f825093007499bf088dbe010bb143fa1f595a72
Absolutely Everybody,Vanessa Amorosi,The Power (15 Year Anniversary Re-issue),https://www.youtube.com/watch?v=iSwkaNdlKOg,741,1999,Absolutely Everybody,17c08bb50fd012016dd6bbb29d6c8894d3f5d6fb8639649abda6018984030d05
Macarena,Los Del Rio,Hits Of The 90s,https://www.youtube.com/watch?v=2zvd1JQ0EKY,743,1993,Los Del Rio - Macarena (Lyrics),a629775854658a8e3ad84673afdf18b0a13b94a1d70d1c3b69cbbd64c0826036
Coco Jamboo,Mr. President,We See The Same Sun,https://www.youtube.com/watch?v=_Jl-QpJNKiQ,745,1996,Coco Jamboo,2fe9c44cdffc2283e6b7cf82e64cec92a6cc71cd5c0cc54ed9d1b1681232acc8
Everybody Get Up - Radio Edit,Five,Let's Dance,https://www.youtube.com/watch?v=aaO_ZLGLbBQ,747,1998,Everybody Get Up (Radio Edit),bafe68cd645e3294ccaf97de187ae60d91ea0c8188987da07d58c118ed5008c5
Here Comes the Hotstepper,iNi Kamoze,On Your 90's Radio,https://www.youtube.com/watch?v=w0N4twV28Mw,748,1994,Ini Kamoze - Here Comes The Hotstepper (HQ),de939f39b1dce7891a8f384e4508a140a05a1b7b4e7ecf970d802dfed10eaf04
Sweat (A La La La La Long),Inner Circle,Blazzin' Fire,https://www.youtube.com/watch?v=-SvridcLD-I,751,1992,Inner Circle - Sweat (A La La La La Long),64e08fa21b0dd038ed8f8ac0d4954d588a84baf0fdd2210015e3d19ba271180f
Gangsta's Paradise,Coolio,Gangsta's Paradise,https://www.youtube.com/watch?v=fPO76Jlnz6c,752,1995,Coolio - Gangsta's Paradise (feat. L.V.) [Official Music Video],e94a83636fe6eaf80bbd7ca71b0d57424b5f4f5fdad1110acfcfd9fd66b43d8c
Fire Water Burn,Bloodhound Gang,One Fierce Beer Coaster,https://www.youtube.com/watch?v=Adgx9wt63NY,754,1996,Bloodhound Gang - Fire Water Burn (Official Video),7f366698b7041aff9aaf14b549b1565618a78da656535f7de2d7d51a798e8f8e
Heaven Is A Place On Earth,Belinda Carlisle,Greatest Vol.1 - Belinda Carlisle,https://www.youtube.com/watch?v=j2F4INQFjEI,758,1987,Belinda Carlisle - Heaven Is A Place On Earth (Official HD Music Video),2c64e9bd1ab67c2f52a5e1f7a6c39f885c441efb8c0a63bdfa44e2787aba2339
Red Red Wine,UB40,The Very Best Of,https://www.youtube.com/watch?v=zXt56MB-3vc,760,1983,UB40 - Red Red Wine (Official Video HD Remastered),519b00fc1ab76bad76c5a6ced33355c41d0a31a6a45d0f089194c6c334f36092
Just Can't Get Enough,Depeche Mode,Speak and Spell (Deluxe),https://www.youtube.com/watch?v=_6FBfAQ-NDE,762,1981,Depeche Mode - Just Can't Get Enough (Remastered),d40c1d2ef9fe7c35001b6c36da7ddd2a41c1aec193bf115aa268f78884c75902
Brown Eyed Girl,Van Morrison,Blowin' Your Mind!,https://www.youtube.com/watch?v=UfmkgQRmmeE,765,1967,Van Morrison - Brown Eyed Girl (Official Audio),3b90cb2c85acf98c684bd3e7214e3da1a8e79e46808b05491f6f7e5557e632ef
I Love to Love,Tina Charles,I Love To Love - The Best Of,https://www.youtube.com/watch?v=RDbL8GLr1yw,766,1976,I Love to Love,77d82578e4df00e39c3be6275e423aa9048de96de49e5eb5ad97bc820dfed14e
Ain't No Sunshine,Bill Withers,Just As I Am,https://www.youtube.com/watch?v=YuKfiH0Scao,767,1971,Bill Withers - Ain't No Sunshine (Official Audio),fdfdf0dd06c8a994da2b27a859137993df9e697a8b69cfb719f1a0056442ef5e
Mandy,Barry Manilow,Barry Manilow II,https://www.youtube.com/watch?v=AvGpvQbkccE,768,1974,Barry Manilow - Mandy (Audio),a4d6968667b9c6c2f978522d6136da0075cf432ad79ea2696f78190b1652f980
Hold My Hand,Jess Glynne,I Cry When I Laugh,https://www.youtube.com/watch?v=cLyUcAUMmMY,769,2015,Jess Glynne - Hold My Hand [Official Video],a6b3d276385cd7b5c599e2880da24487b68bb729939ad09bb7e0d87d37fd70f8
That's Not My Name,The Ting Tings,We Started Nothing,https://www.youtube.com/watch?v=v1c2OfAzDTI,771,2007,The Ting Tings - That's Not My Name (Official Video),25bfc78fc47926778e01136e02c38401a9b73e925978625527a04ccd1fb022a3
Ho Hey,The Lumineers,The Lumineers (Deluxe Edition),https://www.youtube.com/watch?v=zvCBSSwgtg4,772,2012,The Lumineers - Ho Hey (Official Video),b4ae7f442a08a211e248f713d23e2857716aabe6802fc9a660ec526ccfdcdb03
Jubel - Radio Edit,Klingande,Jubel (Radio Edit),https://www.youtube.com/watch?v=0JDjtM10j7w,773,2013,Klingande - Jubel (Lyrics - Radio Edit),55828e344ddbd9f419682a81695f6510cf8c878d020d91f8af8d11d4079214ac
Fuck You,CeeLo Green,The Lady Killer (Deluxe),https://www.youtube.com/watch?v=pc0mxOXbWIU,775,2010,CeeLo Green - FUCK YOU (Official Video),df0a04e1e16e4d4b21ee3dc7bfd4fa01ad3df519fd1f9072846931a29652c0e6
Ghost,Ella Henderson,Chapter One (Deluxe Version),https://www.youtube.com/watch?v=tA8AfQaUnXM,776,2014,Ella Henderson - Ghost (Official Video),3434c6c3092a49d284225678150129b2ad6a6c69a0c98ba7ef768cac9385ee54
Mrs. Robinson,Simon & Garfunkel,Forrest Gump - The Soundtrack,https://www.youtube.com/watch?v=9C1BCAgu2I8,782,1968,Simon & Garfunkel - Mrs. Robinson (Audio),908ffb217f2c2b98d1a2f1d45d338f0a352c5786b8284848a90964af8a080ddb
Everybody's Talkin',Harry Nilsson,Midnight Cowboy (Music From The Motion Picture),https://www.youtube.com/watch?v=BFKDyVPkonc,783,1968,"Harry Nilsson - Everybody's Talkin' (From ""Midnight Cowboy"") (Audio)",66d10b820d3127d77c53bd72787fd8381c6dbc258c4687d199ab938b086bcd63
The Power of Love,Jennifer Rush,The Power Of Love: The Best Of Jennifer Rush,https://www.youtube.com/watch?v=b_zHQ6kFuQ0,784,1984,Jennifer Rush - The Power Of Love (Official Video) (VOD),d2d2133074466229ed4d37c89a7e43936b761168563862995c2fa1a6b8ed95a4
