Title,Artist,Album,URL,Card#,Year,Youtube-Title,Hashed Info
I Was Made For Lovin' You,KISS,Dynasty,https://www.youtube.com/watch?v=ZhIsAZO5gl0,786,1979,Kiss - I Was Made For Lovin' You,0e2b19527d5dd19087ed04e736d39887f9b5bdad91875ace511e22343f757676
Gangnam Style (강남스타일),PSY,Gangnam Style (강남스타일),https://www.youtube.com/watch?v=4AgDYTuZWOw,791,2012,강남스타일 (Gangnam Style),ddd51883fa81cb24c28619b8a31a61d7af48844889b118c8f542ed5bc390d78e
King,Olly Alexander (Years & Years),Communion (Deluxe),https://www.youtube.com/watch?v=UCsrozKOaR4,792,2015,King,b3ff11f128f294f73aebdcd93e0bd9c0a8a9f1c95a4f72482a42ebf03dc97caf
Better Off Alone,Alice Deejay,Who Needs Guitars Anyway?,https://www.youtube.com/watch?v=Lgs9QUtWc3M,794,1999,Alice Deejay - Better Off Alone (Official Video),8af5db256f62b0206b93d139bbbda251ed24380c64389fbe3bd370493e7f2349
Wild Thing,The Troggs,From Nowhere,https://www.youtube.com/watch?v=bLJkrOYHNw8,795,1966,Wild Thing,2189d3b940efbc2e4f0130c46abf3297f5ee8a06100222a0abd95beaaee21ab9
Let's Dance,Chris Montez,The Hits,https://www.youtube.com/watch?v=1LrTInZxmUM,798,1962,Let's Dance,c92032bb54be5c01090c4afb4f9eaabbaff356967cd5c63316f8a8b293d4b4c6
She's Like the Wind (feat. Wendy Fraser),Patrick Swayze,Dirty Dancing: Anniversary Edition,https://www.youtube.com/watch?v=lU9p1WRfA9w,804,1987,Patrick Swayze - She's Like The Wind (Official HD Video) ft. Wendy Fraser,fa8ce106f069739acb2265133eb447de7fa1ef76b71a57626f5d05f32c58326e
I Want to Know What Love Is - 1999 Remaster,Foreigner,Agent Provocateur,https://www.youtube.com/watch?v=r3Pr1_v7hsw,806,1984,Foreigner - I Want To Know What Love Is (Official Music Video),cfdcb570a80b637d11de474d0749df2e7f1bed3735d7c30a07add415a86fd916
Heartbreaker,Dionne Warwick,Heartbreaker,https://www.youtube.com/watch?v=9xHQsMYosao,808,1982,Dionne Warwick - Heartbreaker,eb81f05b68133fc30b0428b955e930be942cfe67490e9ef10d479ca242e65eff
Woman in Love,Barbra Streisand,Guilty,https://www.youtube.com/watch?v=hQLGCX8D-1Y,811,1980,Barbra Streisand - Woman in Love (Official Audio),8f0d9d23a104c725691e3172affb8e812b4f93686a6ba8e47d9c95e500e51966
Barbra Streisand - Radio Edit,Duck Sauce,Barbra Streisand,https://www.youtube.com/watch?v=OW9HP19f_nI,812,2010,Barbra Streisand (Radio Edit),b7acbd07eff3f10f85054793982cfc405c0ff21e021b0aaa4f9b42118a65a6be
Stairway to Heaven - Remaster,Led Zeppelin,Led Zeppelin IV (Deluxe Edition),https://www.youtube.com/watch?v=QkF3oxziUI4,815,1971,Led Zeppelin - Stairway To Heaven (Official Audio),9d86ec43ada421d0a3029ed5a022f204e29caa4fc76644591b5200e1febb5eb3
"Another Brick In The Wall, Pt. 2 - 2011 Remastered Version",Pink Floyd,The Wall (Remastered),https://www.youtube.com/watch?v=HrxX9TBj2zY,816,1979,"Pink Floyd - Another Brick In The Wall, Part Two (Official Music Video)",22b95918b299cb02ba063eca13e4ded764016d4e9f1fec445f81935550a66898
Paratiisi,Rauli Badding Somerjoki,Näin käy rock & roll,https://www.youtube.com/watch?v=BUGDsf7tW0I,1077,1973,Rauli Badding Somerjoki - Paratiisi,58be337a5614591b8d79a30cca6e60f13fc05c28e0a86c64483e8ba168150d03
Livin' On A Prayer,Bon Jovi,Slippery When Wet,https://www.youtube.com/watch?v=lDK9QqIzhwk,825,1986,Bon Jovi - Livin' On A Prayer,6a82e41cafdb4ac32fd7635c333b58711a1c9bbe15d20bf744feda4fd7ab2f0a
Maria Maria (feat. The Product G&B),Santana,Supernatural (Remastered),https://www.youtube.com/watch?v=nPLV7lGbmT4,829,1999,Santana - Maria Maria (Official Video) ft. The Product G&B,c7b1ac35d43943925ad6327cefcb892b7a3a8e01bdc43654ea9dcfe68219db9f
Banana Boat (Day-O),Harry Belafonte,Calypso,https://www.youtube.com/watch?v=DYYkJ0kwNss,833,1956,Banana Boat (Day-O),e7ae83fb2045a54b67a6596b923c1b1046e68674cc517909eff5ea69417dd0e6
Fever,Peggy Lee,The Best Of Peggy Lee,https://www.youtube.com/watch?v=JBANWpzsHts,834,1958,Fever,a47ec0f273608b89db1835538553902de69271e13e5e02a6df14ddae273e7838
Jump,Kris Kross,Totally Krossed Out,https://www.youtube.com/watch?v=010KyIQjkTk,841,1992,Kris Kross - Jump (Official Video),c5b50cf765f319fff4a11a7cff0af8bf35211facaeb4d1d61a099584c04bf752
Go West - 2003 Remaster,Pet Shop Boys,PopArt: The Hits,https://www.youtube.com/watch?v=LNBjMRvOB5M,842,1993,Pet Shop Boys - Go West (Official Video) [HD REMASTERED],80b85e22a7174fb800003400fdab84f810c02ab185da17231a598af188489c25
TRUE,Spandau Ballet,The Twelve Inch Mixes,https://www.youtube.com/watch?v=TVeSwMMvkP4,852,1983,True,fbc70fe8674be4a912190528d00aa117fc55d8ec533db20d2b55c392710b97c9
Whiskey in the Jar,The Dubliners,The Best Of The Dubliners,https://www.youtube.com/watch?v=L__TrWhq4Uk,856,1967,Whiskey in the Jar,6fb1c3e1c54c1daf523827f8bea40dd2f789f058bb10ee5603d874dd12b50543
We're Not Gonna Take It,Twisted Sister,Stay Hungry,https://www.youtube.com/watch?v=V9AbeALNVkk,857,1984,Twisted Sister - We're Not Gonna Take it (Extended Version) (Official Music Video),71a5d78796416e650c25535184e26d48fd2bcf28c8184e8bc1e5494983516795
Poika saunoo,Poju,Panokset kovenee,https://www.youtube.com/watch?v=y26HhZ-H8to,1146,2011,Poika saunoo,1a5664e08ec637305b1c38c7d3703dcaa127b864d9433ac295c9c7a066d66325
Because You Loved Me,Céline Dion,"Chillout Pop inc. John Legend, Miley Cyrus & John Mayer",https://www.youtube.com/watch?v=fpl4if07ics,862,1996,"Céline Dion - Because You Loved Me (Theme from ""Up Close and Personal"")(Audio)",b8a1b24756ab73fa305a98b328a3521f91ef96be31287fe60016dc30f7a76930
I'll Stand by You,Pretenders,Last of the Independents,https://www.youtube.com/watch?v=nobHZ3nOp38,867,1994,I'll Stand by You,b8f15be7b4de9bfd902ca2b358091b6f7e09982fe912e21390dfa115cd0689f9
Sweet but Psycho,Ava Max,Heaven & Hell,https://www.youtube.com/watch?v=WXBHCQYxwr0,871,2018,Ava Max - Sweet but Psycho [Official Music Video],55bb2faf9d30697da06f65512a729b880ff42bd0ac518b776e22c5b84a068c39
Hetki lyö,Kirka,20 Suosikkia / Varrella virran,https://www.youtube.com/watch?v=SGPtv4HhnRI,1075,1967,Hetki Lyö KIRKA The Islanders,e59339caf444153c00bce613ca2a48caeceecb7e6aef3762b2d59155af8a3586
Pauhaava sydän,Lauri Tähkä & Elonkerjuu,Kirkkahimmat 2000-2008,https://www.youtube.com/watch?v=t2Y2sn2jZM8,1137,2007,Lauri Tähkä & Elonkerjuu - Pauhaava Sydän,74da4bb4c197efbdb1cbb796ce42b9aa63734ba57c6a2dd3aa47f14beea3c1e9
Be Alright,Dean Lewis,Be Alright,https://www.youtube.com/watch?v=I0czvJ_jikg,873,2018,Dean Lewis - Be Alright (Official Video),baef179b4a29baab329f6013909f10d1de4168a6a242e3088c831bf041123cf4
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,The Papercut Chronicles II,https://www.youtube.com/watch?v=T3E9Wjbq44E,874,2011,Gym Class Heroes: Stereo Hearts ft. Adam Levine [OFFICIAL VIDEO],91ce87e8e5c534b10c5f88c1ed7dfc17fb33fae6e508192969ee47fcb1d57540
When Love Takes Over (feat. Kelly Rowland),David Guetta,One More Love,https://www.youtube.com/watch?v=zudbz4hOcbc,876,2009,David Guetta Feat. Kelly Rowland - When Love Takes Over (Official Video),e09288fb736904cd32508d68f4fd41809990d89d4ecc4928bb31bbf46f8948f6
Brimful of Asha,Cornershop,Brimful of Asha,https://www.youtube.com/watch?v=lM7H0ooV_o8,882,1997,Cornershop - Brimful of Asha - Official Music Video (Original) (Tjinder Singh),2c8f893834838b40f772c22ad59c83ddabce05d9448d6377d0ae4fb082249691
We No Speak Americano (Edit),Yolanda Be Cool,We No Speak Americano,https://www.youtube.com/watch?v=7E9Ed9DUQoQ,884,2010,Yolanda Be Cool & DCUP - We No Speak Americano (Official Video),eae26a1034da60e98101594210ac7c80b2112d9057a291a24b3144655673f043
I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things.,https://www.youtube.com/watch?v=DbHhmn8Pl0k,894,2008,I'm Yours,9bb86a6a2a3fd2ec6a63612e65e9993b14bfcfb72a12a856791c44a909fe24d4
Kids,MGMT,Oracular Spectacular,https://www.youtube.com/watch?v=fe4EK4HSPkI,898,2007,MGMT - Kids (Official HD Video),9b24f855f440d32d3f01cf1bd09f202d4c0c16b2fb921a7bbf23c63857effbe3
What A Man,Linda Lyndell,"The Complete Stax / Volt Soul Singles, Vol. 2: 1968-1971",https://www.youtube.com/watch?v=gQMxuXkqGrA,900,1968,What A Man,ca218d219f58f78f26114bc6b088cfe51182b0637fc1de5093c120e5e02199da
Rappiolla,Hassisen Kone,Täältä Tullaan Venäjä,https://www.youtube.com/watch?v=zvXPg-mAHvA,1083,1980,Rappiolla Hassisen kone,99fd3633e5cf9979cebc7924fc4ea355dea53aa73f09f35ac3b30d6a3e2d8498
Express Yourself,Charles Wright & The Watts 103rd Street Rhythm Band,Express Yourself,https://www.youtube.com/watch?v=8FN8yAFZLDU,901,1970,Express Yourself,c84e7d0ed6f8a95beb57b631d215455d7028ae4ce370364d2cbbf18a923e0749
So Sick,Ne-Yo,In My Own Words,https://www.youtube.com/watch?v=IxszlJppRQI,907,2005,Ne-Yo - So Sick (Official Music Video),857f352a4e91afbfa0cc345889e0dbb2bb86d24898a41fd5f2f3a3a8ee12cef8
Drop It Like It's Hot,Snoop Dogg,R&G (Rhythm & Gangsta): The Masterpiece,https://www.youtube.com/watch?v=GtUVQei3nX4,915,2004,Snoop Dogg - Drop It Like It's Hot (Official Music Video) ft. Pharrell Williams,c1e1d790c02f0d3d4eb49d6cbce908e63670fc066347ddf998aea81876c49828
Get Ur Freak On,Missy Elliott,Miss E... So Addictive,https://www.youtube.com/watch?v=FPoKiGQzbSQ,920,2001,Missy Elliott - Get Ur Freak On [Official Music Video],6cb71d98c296a1cbddd49c32c3d23e36b9c63dc93c37466750b188b0d80143e8
Yeah! (feat. Lil Jon & Ludacris),USHER,Confessions (Expanded Edition),https://www.youtube.com/watch?v=GxBSyx85Kp8,924,2004,"Usher - Yeah! (Official Video) ft. Lil Jon, Ludacris",58d0fb45c9c292e3d80891b7a87f3d62d7ae912c6a278e77ff4bda4b00b81877
Come On Eileen,Dexys Midnight Runners,Too Rye Ay,https://www.youtube.com/watch?v=6BODDyZRF6A,926,1982,"Dexys Midnight Runners, Kevin Rowland - Come On Eileen (1982 Version)",16e3975ea80b1e0fb6a7c9a8382c8eae7370d9041c7030e26da20f833d07ef34
Pretty Girl,Maggie Lindemann,Pretty Girl,https://www.youtube.com/watch?v=WEFJnYMz0Ec,938,2016,Maggie Lindemann - Pretty Girl [Official Music Video],b0edb0522b3b772834afb65b17bd8fc2e43506ea3285924d839a6d4baf32ab56
Bubbly,Colbie Caillat,Coco,https://www.youtube.com/watch?v=AWGqoCNbsvM,965,2007,Colbie Caillat - Bubbly (Official Music Video),327cbde52eb2b0e475f35afd711e9b57a618c26b1f633cccd53445e406c07bbe
Every Time You Go Away - Radio Edit,Paul Young,From Time To Time - The Singles Collection,https://www.youtube.com/watch?v=p3tH4Ksu50o,967,1985,Every Time You Go Away (Radio Edit),5d08229f4a605110b33fcb7a5109d6039e49c662665b953bcc77f10cd258f555
Let Her Go,Passenger,All The Little Lights,https://www.youtube.com/watch?v=RBumgq5yVrA,974,2012,Passenger | Let Her Go (Official Video),a254fecd6c572c86dbde5b6560cf720c11e38f07ad0fd366b108a432b1ac4ed9
Safe And Sound,Capital Cities,In A Tidal Wave Of Mystery (Deluxe Edition),https://www.youtube.com/watch?v=47dtFZ8CFo8,975,2011,Capital Cities - Safe And Sound,94b023d533ddb05220af5ca7dee508b69d633241c9a619a4d080920b67bedab1
Centuries,Fall Out Boy,American Beauty/American Psycho,https://www.youtube.com/watch?v=dfk6i41GCNo,976,2014,Centuries,44640047345e29b7d80d4ccc06ebdce045003a4e899d13f47d83a6edfbe0f157
High Hopes,Panic! At The Disco,Pray for the Wicked,https://www.youtube.com/watch?v=IPXIgEAGe4U,982,2018,Panic! At The Disco - High Hopes (Official Video),79da9356a5cabf8821b17ae744d8819268bc46f12896808226f3ec74bdff6a55
Toy Soldiers,Martika,Martika (Expanded Edition),https://www.youtube.com/watch?v=b3v6dVDXtp0,988,1988,Toy Soldiers,c8bc2f41536f962fed717bbb86a66f597ef0ef773548ffc163ca056798d54774
Kiss from a Rose,Seal,Seal,https://www.youtube.com/watch?v=vx-Lzo9NxAQ,1003,1994,Kiss from a Rose,274bde7d6e352ac45a60fcffccf27c2415817d69c57ce777d8b182e6e6d2d6cb
"Non, je ne regrette rien",Édith Piaf,Eternelle,https://www.youtube.com/watch?v=i4hTBhClt6M,1015,1960,"Non, je ne regrette rien",7179b14e24a6c20ab144a231229020048463a88c8fc448b86fdb1b46bc09d49d
What a Difference a Day Makes,Dinah Washington,Dinah Washington - The Great American Songbook,https://www.youtube.com/watch?v=upJ3OgMRiUA,1017,1959,What A Difference A Day Makes,56ae92db7957277075736a336f1a03ae0c0cfa07dd228330120e161a34972314
Good Feeling,Flo Rida,Wild Ones,https://www.youtube.com/watch?v=3OnnDqH6Wj8,780,2011,Flo Rida - Good Feeling [Official Video],8b6198feff0ea96e68e207d823e98fb1b9d4a85f5584cb847df1495c04de51b5
Summer Of '69,Bryan Adams,Reckless (30th Anniversary / Deluxe Edition),https://www.youtube.com/watch?v=eFjjO_lhf9c,863,1984,Bryan Adams - Summer Of '69 (Official Music Video),b4933bb43edb81d6376463fa52bff075944f138a57b6d1b778061b3712d58945
"What Is Love - 7"" Mix",Haddaway,What Is Love (Remixes),https://www.youtube.com/watch?v=HEXWRTEbj1I,887,1993,Haddaway - What Is Love [Official],b0a3cf4a534f94b2790325b821ea8a75b6d6be1513bd48a69006ceb5dc837824
Don't Let Me Down - Remastered 2009,The Beatles,The Beatles 1967 - 1970 (Remastered),https://www.youtube.com/watch?v=EyHKuyGsu4U,1020,1969,Don't Let Me Down (Remastered 2009),640b4a786a7052877fd379d11c07831423440a10c3b1c7691a2d1483a8c18e41
Bad Habits,Ed Sheeran,=,https://www.youtube.com/watch?v=orJSJGHjBLI,1021,2021,Ed Sheeran - Bad Habits [Official Video],49078c9dd298132c84c871535fa6c38cf228847b4ddd1ff6c0605da37e8438ac
Cold Heart - PNAU Remix,Elton John,Cold Heart (PNAU Remix),https://www.youtube.com/watch?v=qod03PVTLqk,1022,2021,"Elton John, Dua Lipa - Cold Heart (PNAU Remix) (Official Video)",45e7cc7725f5ca684e24342932476633837d7b29f9e102624baf6e9d5c16c1d8
As It Was,Harry Styles,Harry's House,https://www.youtube.com/watch?v=H5v3kku4y6Q,1023,2022,Harry Styles - As It Was (Official Video),ec2ef492687f389353eb8738a7ff1023c6eba030c1e5560e21f60bb5ba2d54ff
Running Up That Hill (A Deal With God),Kate Bush,Hounds Of Love,https://www.youtube.com/watch?v=wp43OdtAAkM,1024,1985,Kate Bush - Running Up That Hill - Official Music Video,16c1d52a95fed5852e95580470e7b53b673587b48e6a96fdeb3742788b689f91
First Class,Jack Harlow,Come Home The Kids Miss You,https://www.youtube.com/watch?v=yQBImEeXNZ4,1026,2022,Jack Harlow - First Class [Official Music Video],82f6beeb87086562fafe94b657859f9bac4439d191ba12ebf103b87e4bb6adf1
rockstar (feat. 21 Savage),Post Malone,beerbongs & bentleys,https://www.youtube.com/watch?v=AaxFIY-cWH0,551,2017,rockstar,74bd1a90b364615c6853eb7f32d611304373fa70a60589e4babd2b74e1d19efe
Mercedes Benz,Janis Joplin,Pearl (Legacy Edition),https://www.youtube.com/watch?v=-H7YULkiLIA,555,1971,Mercedes Benz,15a9e0ec7eed6e4dece150cfbc6e7e9bb21f226c98bdf89e061c1c88f012a122
Aicha,Outlandish,Bread & Barrels Of Water (International Version),https://www.youtube.com/watch?v=f0nFTdKlKLw,562,2002,Outlandish - Aicha (Video),9acea03e3655cf235b55761469c7bf492e347a688d5fcffb9587511723275863
I'm Outta Love,Anastacia,Not That Kind,https://www.youtube.com/watch?v=TnOy6HEf7HU,579,2000,Anastacia - I'm Outta Love (PCM Stereo),858c23f5068137185d5756d520138e7869f602e7aeb8d527c46769d6bdc63b19
One Of Us,Joan Osborne,Relish,https://www.youtube.com/watch?v=aDdOnl0bHO4,601,1995,Joan Osborne - One Of Us,7356b9ecff596925f132b9571277ad06bbb04d63c52a92cfdd350731635c3afa
Kids In America,Kim Wilde,Kim Wilde,https://www.youtube.com/watch?v=8BYKpQ_6GbM,610,1981,Kim Wilde - Kids In America (1981) • TopPop,17f9cb530c41311dcd5ec93436d4ff981d3d448e629f6db7076f754fb25363db
Pure Shores,All Saints,Saints & Sinners,https://www.youtube.com/watch?v=dVNdTXEJv1A,622,2000,All Saints - Pure Shores (Official Music Video),f780906f51600268cd2409e7ff2a1b84d8fb98ed68fdadeb03206eb322ec5073
Rockstar,Nickelback,All the Right Reasons (Walmart Exclusive Edition),https://www.youtube.com/watch?v=DmeUuoxyt_E,639,2005,Nickelback - Rockstar [OFFICIAL VIDEO],dc89b354cbdcc88f7537f3f20ae2bdec1bf79c205c37c301c67e275b7ae6dfce
Bang Bang (My Baby Shot Me Down),Nancy Sinatra,How Does That Grab You?,https://www.youtube.com/watch?v=7FNse1n7pSs,665,1966,NANCY SINATRA      * bang-bang (my baby shot me down) -1967,d5ffd53a483a56193e6a909e63b06b659a2e5e2efb94b382e2ae66db6d9f7643
Dressed For Success,Roxette,Look Sharp! (Extended Version),https://www.youtube.com/watch?v=kkxj5xVLyj0,686,1988,Roxette - Dressed For Success,a59b972d33e4a7ec90b66976498b82ce28273eca98b8e431da5689900a93475d
Hang with Me,Robyn,"Body Talk, Pt.2",https://www.youtube.com/watch?v=-3a2qoyONVA,690,2010,Robyn - Hang with Me,28e30a8777aa46059efe9a998a7fc37007c520a1e31a7d7352127f9462322c26
Don't Worry Be Happy,Bobby McFerrin,The Collection,https://www.youtube.com/watch?v=d-diB65scQU,761,1988,Bobby McFerrin - Don't Worry Be Happy (Official Music Video),23948e410c68acc550e89b72cfa32fea906196ae265857a1cd5421f0b06dac4e
Party Rock Anthem,LMFAO,Sorry For Party Rocking,https://www.youtube.com/watch?v=KQ6zr6kCPj8,781,2011,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",c8dded02d5b5e2c93db26e2f2afdf3f97ca396d0d5f94d46fe5d9689260c10b1
Eternal Flame,The Bangles,The Essential Bangles,https://www.youtube.com/watch?v=PSoOFn3wQV4,800,1988,The Bangles - Eternal Flame (Official Video),fb0397fb217a50a55b9e5c45a1272de947c53ad9f0819709179b85c9908cf080
Rhythm Of The Night,DeBarge,Rhythm Of The Night,https://www.youtube.com/watch?v=cAQSZhazYk8,860,1985,DeBarge - Rhythm Of The Night (Official Music Video),57cfb502888de5a3c68a2cc4b65559060055769ae1299b964d223f94459bc2a5
The Rockafeller Skank,Fatboy Slim,You've Come a Long Way Baby (10th Anniversary Edition),https://www.youtube.com/watch?v=wD6jCMn5nq0,864,1998,The Rockafeller Skank,8588655cde4b95ed20327ba759d8a5ab42337a3da6c7675181e83cf1aad0df99
Stay With Me,Sam Smith,In The Lonely Hour,https://www.youtube.com/watch?v=pB-5XG-DbAA,869,2014,Sam Smith - Stay With Me (Official Music Video),cd82f23606de4d870c47d23eb9ad0c5e2141b4cd5add40f9e0edb85282da761e
Sata salamaa,Virve Rosti,Sata salamaa,https://www.youtube.com/watch?v=oQHtS27iXBU,1097,1987,Sata salamaa,9163e72c66c38a23a3b2d45e4fcffa97b69883a5b59e5f891f4e4bd5bf0bce76
Move Your Feet,Junior Senior,D-D-Don't Don't Stop the Beat,https://www.youtube.com/watch?v=SPlQpGeTbIE,893,2002,"Junior Senior - Move Your Feet (Official music video, HD)",9e3f5820bf2f4704a3a1b8dc1620dbb227dab233537958a6a7e4189ba996ff7a
Ayo Technology,Milow,Acoustic Dance Sessions,https://www.youtube.com/watch?v=DE9IchvpOPk,933,2008,Milow - Ayo Technology (Official Music Video),f0b7fd7d37d233cbe27eeb07fdc2d0dc9b17712d72a02ffae3e9334216deaed7
Lean On (feat. MØ & DJ Snake),Major Lazer,Peace Is The Mission : Extended,https://www.youtube.com/watch?v=YqeW9_5kURI,936,2015,Major Lazer & DJ Snake - Lean On (feat. MØ) (Official Music Video),95d85c5dead05d83310355d0e89036955a212ec6b9c870b6106bd690b8f777ef
death bed (coffee for your head),Powfu,death bed (coffee for your head),https://www.youtube.com/watch?v=icFFXtYckAI,937,2019,Powfu - death bed (8D AUDIO) ft. beabadoobee | coffee for your head,64d928d432447a2fa0d0dfe9a9bb52d33b9c6841e5bc4b252cae1fb30f538941
California Love - Original Version,2Pac,Greatest Hits,https://www.youtube.com/watch?v=joS_nT9LvRc,1027,1995,2Pac - California Love (Original Version) (Feat. Dr. Dre & Roger Troutman),85cb224d17f39ea347e15d4d31541f77af39bbb19960462d65ccf12e7603f349
The Final Countdown,Europe,The Final Countdown (Expanded Edition),https://www.youtube.com/watch?v=9jK-NcRmVcw,1028,1986,Europe - The Final Countdown (Official Video),2c2227f5b80511b142c2f90f787a6f0316e3d135af5465895fe6dfefe85dd280
Beds Are Burning - Remastered,Midnight Oil,Diesel And Dust,https://www.youtube.com/watch?v=ejorQVy3m8E,1030,1987,Midnight Oil - Beds Are Burning,291304ea331cf8f3df3a4a68c12ca5847b9f76c9d9400a2b8f6b85d253baafd2
Post Malone (feat. RANI),Sam Feldt,Magnets EP,https://www.youtube.com/watch?v=TewoJFN61mI,1032,2019,Sam Feldt - Post Malone (feat. RANI) [Official Music Video],1b9b42f8822a052f98a32713a790bd5662f48beafe3a2343a97327fb2a6ce0ee
Renegades,X Ambassadors,VHS,https://www.youtube.com/watch?v=8j741TUIET0,637,2015,X Ambassadors - Renegades (Lyric Video),d6ee558439ce6fb49d74052e86a4cd3e7bffce3c454b0a9ec7965c3d39e706fd
Wake Me Up,Avicii,TRUE,https://www.youtube.com/watch?v=IcrbM1l_BoI,430,2013,Avicii - Wake Me Up (Official Video),907a75c1078b47eed476420d40cfafc733d2ac62c088a73f60b8ab4cdbc6fae2
I'm Coming Out,Diana Ross,Diana,https://www.youtube.com/watch?v=E2muOFNlvVk,479,1980,I'm Coming Out,fb7213a1011e562ff6399a1a77b64853fe57fbea0871e8e199ef12fc546dd955
Anti-Hero,Taylor Swift,Midnights,https://www.youtube.com/watch?v=b1kbLwvqugk,1167,2022,Taylor Swift - Anti-Hero (Official Music Video),988dd63c343d9cb283d1f55a4054db69e6ad1675829d95aadc8e458f73307898
Ooh Aah...Just a Little Bit - Motiv8 Radio Edit,Gina G,Fresh,https://www.youtube.com/watch?v=MRGN8IkeGUg,750,1996,Ooh Aah... Just a Little Bit (Motiv8 Radio Edit),5d8155070e6da95ca44bea1d85d157c3291ed2dde0d613002a97549b37090556
Breakfast At Tiffany's,Deep Blue Something,11th Song,https://www.youtube.com/watch?v=1ClCpfeIELw,571,1993,Deep Blue Something - Breakfast At Tiffany's (Official Music Video),e229f891959f56efc8f5b49ea1ee47658fc6f1447b1a901714c504f7229fad1c
"Sing, Sing, Sing",Benny Goodman,The Essential Benny Goodman,https://www.youtube.com/watch?v=1F-RQd5ZRAk,2,1937,"Sing, Sing, Sing",9946b2ae240288453c9705b3b7c3cef2b9cde571f15034250e9ac565378e8f8c
Great Balls of Fire,Jerry Lee Lewis,The Essential Jerry Lee Lewis [The Sun Sessions],https://www.youtube.com/watch?v=83fQJnI6EZY,830,1957,Great Balls Of Fire,cafa32865793ac4c95c24dfdd2c7f17a650590431303e979a0d84a707f180177
